,,,Search Result Columns,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Downloaded on:,14-Jul-2026,,,,,,,,,,,,,,,,,,,,
Created for:,"Stewart Neifert, Johns Hopkins Technology Ventures",,,,,,,,,,,,,,,,,,,,
Search Link:,https://my.pitchbook.com/?pcc=1356759-82,,,,,,,,,,,,,,,,,,,,
Search Criteria:,Investor Types: Angels/Incubators; Venture Capital; Assets Under Management: Min: 25M; Fund Strategy: Venture Capital; Fund Vintage Year: From: 2016; Fund Status: Open Funds; Deal Types: All VC Stages; All Series; Investors with Funds having invested in Deals matching criteria; ,,,,,,,,,,,,,,,,,,,,
* All investments represented are equity and add-on investments,,,,,,,,,,,,,,,,,,,,,
Investor ID,Investors,Last Investment Company,Preferred Investment Types,Preferred Geography,Preferred Deal Size,Dry Powder,Preferred Investment Amount,Preferred Verticals,Preferred PitchBook Industry,Investments,Active Portfolio,Investments in the last 6 months,Investments in the last 12 months,Investments in the last 2 years,Investments in the last 5 years,Primary Investor Type,AUM,HQ Location,Investor Status,Description,View Investor Online
459252-46,Logo Ventures (Turkey),Replenit,"Early Stage VC, Seed Round","Asia, Canada, Europe, Turkey, United States",,,0.10 - 1.50,"AdTech, AgTech, Artificial Intelligence & Machine Learning, B2B Payments, Big Data, CleanTech, Climate Tech, CloudTech & DevOps, Cybersecurity, Digital Health, E-Commerce, EdTech, FemTech, FinTech, FoodTech, HealthTech, HR Tech, Impact Investing, InsurTech, Internet of Things, Legal Tech, Life Sciences, Marketing Tech, Micro-Mobility, Mobile, Mobile Commerce, Mobility Tech, Mortgage Tech, Real Estate Technology, Restaurant Technology, Ridesharing, Robotics and Drones, SaaS, Supply Chain Tech, TMT, Virtual Reality, Wearables & Quantified Self",Information Technology,22,18,1,1,4,19,Venture Capital,25.00,"Istanbul, Turkey",Actively Seeking New Investments,"Founded in 2017, Logo Ventures is a venture capital firm based in Istanbul, Turkey. The firm prefers to invest in the information technology sector.",View Investor Online
55497-61,Vox Capital,Marisa.Care,"Convertible Debt, Early Stage VC, Seed Round","Canada, Central America, Europe, Mexico, South America, United States",,18.59,0.10 - 5.82,"AgTech, CleanTech, Climate Tech, Cryptocurrency/Blockchain, Digital Health, EdTech, FemTech, FinTech, FoodTech, HealthTech, Impact Investing, Life Sciences, LOHAS & Wellness, Mobility Tech, Oncology, SaaS, Supply Chain Tech","Agriculture, Commercial Banks, Consumer Finance, Education and Training Services (B2B), Educational and Training Services (B2C), Environmental Services (B2B), Forestry, Healthcare, Other Energy Services, Other Financial Services, Private Equity, Software, Specialized Finance",22,17,3,7,10,22,Venture Capital,271.54,"Sao Paulo, Brazil",Actively Seeking New Investments,"Founded in 2009, Vox Capital is a venture capital firm based in Sao Paulo, Brazil. The firm focuses on companies delivering positive social impact to the Brazilian low-income population through solutions that help to improve their lives. The firm seeks to invest in the health, education, housing, financial services, and technology sectors.",View Investor Online
55835-56,Ivy Capital (Shanghai),Rosiwit,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,,,"Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, Internet of Things, SaaS, TMT","Computer Hardware, Other Information Technology, Software",20,17,,,,12,Venture Capital,884.43,"Shanghai, China",Actively Seeking New Investments,"Founded in 2007, Ivy Capital is a venture capital firm based in Shanghai, China. The firm prefers to invest in hardware, internet enterprise services, cloud computing, big data, internet of things (IoT), and artificial intelligence sectors.",View Investor Online
157578-04,J&T Ventures,Wultra,"Early Stage VC, Seed Round","Eastern Europe, Southern Europe",,,0.34 - 3.43,"AdTech, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, Augmented Reality, B2B Payments, Big Data, Car-Sharing, CloudTech & DevOps, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, E-Commerce, EdTech, Esports, FemTech, FinTech, Gaming, HealthTech, HR Tech, Impact Investing, Industrials, Infrastructure, InsurTech, Internet of Things, Legal Tech, Marketing Tech, Mobile, Mobile Commerce, Mobility Tech, Mortgage Tech, Pet Technology, Real Estate Technology, Robotics and Drones, SaaS, Supply Chain Tech, TMT, Virtual Reality","Automotive, Commercial Services, Information Services (B2C), Other Media, Rail, Software, Specialized Finance",19,18,,,,9,Venture Capital,137.38,"Prague, Czech Republic",Actively Seeking New Investments,"Founded in 2014, J&T Ventures is a venture capital firm based in Prague, Czech Republic. The firm prefers to invest in early-stage companies in the CEE and SEE regions.",View Investor Online
176117-41,LEAD (Venture Capital),Lotus AI,,,,,,"Digital Health, Esports, Gaming, HealthTech",,18,14,,1,4,11,Venture Capital,120.00,"Orlando, FL",Actively Seeking New Investments,"Founded in 2016, LEAD is a Venture Capital firm headquartered in Orlando, Florida. The firm seeks to invest in sports, health tech, and other sectors.",View Investor Online
544640-95,Mercurius Media Capital,Copper Banking,"Early Stage VC, Later Stage VC, PIPE",United States,,,1.00 - 10.00,"AdTech, Autonomous cars, Beauty, Car-Sharing, CleanTech, Cryptocurrency/Blockchain, Digital Health, E-Commerce, EdTech, Esports, FemTech, FinTech, FoodTech, Gaming, HealthTech, HR Tech, InsurTech, Marketing Tech, Mobile Commerce, Mobility Tech, Pet Technology, Real Estate Technology, Ridesharing, Virtual Reality, Wearables & Quantified Self","Business Products and Services (B2B), Financial Services, Healthcare, Information Technology, Media",18,18,5,8,13,17,Venture Capital,163.20,"Redwood City, CA",Actively Seeking New Investments,"Founded in 2023, Mercurius Media Capital is a venture capital firm based in Redwood City, California. The firm is a U.S.-based venture capital firm that uses a media-for-equity investment model. The firm works with U.S. media companies to aggregate advertising inventory and provides this inventory to selected startups in exchange for equity, with the objective of supporting company growth through media exposure.",View Investor Online
54669-52,The FSE Group,Circular11,"Angel (individual), Debt - General, Early Stage VC, Later Stage VC, Loan, PE Growth/Expansion, Seed Round",United Kingdom,,,0.03 - 6.65,"3D Printing, AdTech, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, AudioTech, Augmented Reality, B2B Payments, Beauty, Big Data, Car-Sharing, CleanTech, Climate Tech, CloudTech & DevOps, Cybersecurity, Digital Health, E-Commerce, EdTech, FemTech, FinTech, FoodTech, Gaming, HR Tech, Impact Investing, Industrials, Infrastructure, InsurTech, Internet of Things, Legal Tech, Life Sciences, LOHAS & Wellness, Manufacturing, Marketing Tech, Micro-Mobility, Mobile, Mobile Commerce, Mobility Tech, Mortgage Tech, Nanotechnology, Oncology, Pet Technology, Restaurant Technology, Ridesharing, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech, TMT, Wearables & Quantified Self","Chemicals and Gases, Commercial Services, Communications and Networking, Consumer Non-Durables, Energy Services, Exploration, Production and Refining, Healthcare, Other Business Products and Services, Software",18,17,,3,12,18,Venture Capital,483.00,"Fleet, United Kingdom",Actively Seeking New Investments,"Founded in 2002, The FSE Group is a venture capital firm based in Fleet, United Kingdom. The firm prefers to invest in early-stage and growth-stage startups operating in the renewable energy and social enterprise sectors.",View Investor Online
470443-87,TX Ventures,Range (Network Management Software),"Early Stage VC, Seed Round","Austria, Germany, Switzerland",,,1.14 - 5.72,"Cryptocurrency/Blockchain, Cybersecurity, FinTech, InsurTech, Real Estate Technology, SaaS","Financial Software, Network Management Software, Other Financial Services, Other Information Technology, Other Software",18,17,,,1,16,Venture Capital,124.16,"Zurich, Switzerland",Actively Seeking New Investments,"Founded in 2022, TX Ventures is a corporate venture arm of TX Group and is headquartered in Zurich, Switzerland. The firm seeks to invest in the fintech, insurtech, proptech, cybertech, and digital assets sectors.",View Investor Online
596981-98,Atlas SGR,Oscorp Energy,"Accelerator/Incubator, Early Stage VC, Seed Round","Europe, United States",,,0.23 - 1.37,"Artificial Intelligence & Machine Learning, Cybersecurity","Commercial Services, Commercial Transportation, Financial Services, Healthcare, Information Technology",17,14,2,5,17,17,Asset Manager,103.04,"Milan, Italy",Actively Seeking New Investments,"Founded in 2022, Atlas SGR is an asset management firm based in Milan, Italy. The firm seeks to invest in small and medium-sized and startup Italian companies that promote sustainable development and the real economy. The firm manages two investment funds, one dedicated to direct lending for Italian SMEs and one to venture capital for AI and cybersecurity start-ups launched by venture builders.",View Investor Online
343333-54,Borski Fund,ShanX Medtech,"Early Stage VC, Seed Round",Netherlands,,,0.29 - 4.01,"AgTech, Artificial Intelligence & Machine Learning, Beauty, CleanTech, Climate Tech, Digital Health, EdTech, FemTech, FinTech, FoodTech, HealthTech, HR Tech, Impact Investing, Legal Tech, LOHAS & Wellness, Nanotechnology, SaaS, Virtual Reality, Wearables & Quantified Self","Computer Hardware, Consumer Products and Services (B2C), Healthcare, IT Services, Software",17,14,,1,2,14,Venture Capital,57.24,"Amsterdam, Netherlands",Actively Seeking New Investments,"Founded in 2019, Borski Fund is a venture capital firm based in Amsterdam, Netherlands. The firm seeks to invest in retail and healthtech sectors. The firm invests in gender diverse teams with propositions in healthcare, climatech, and future societies.",View Investor Online
